Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
15,6,2018,18.09,34.69,0,10.2
16,6,2018,17.44,29.76,3.56,5.3
17,6,2018,17.24,28.4,0,6.09
18,6,2018,13.78,32.65,0,8.18
19,6,2018,17.55,34.62,0,8.94
20,6,2018,15.54,28.57,0,5.63
21,6,2018,16.22,33.88,0,7.7
22,6,2018,17.51,37.61,0.76,11.56
23,6,2018,14.18,33.47,0,8.11
24,6,2018,16.9,34.38,0,9.26
25,6,2018,14.25,29.11,0,6.54
26,6,2018,16.63,38.05,0,10.13
27,6,2018,18.7,38.53,0,10.96
28,6,2018,19.82,36.9,0,11.06
29,6,2018,19.11,36.76,7.11,10.64
30,6,2018,17.92,35.57,0,9.64
1,7,2018,15.27,33.13,0,8.77
2,7,2018,16.43,33.47,0,7.69
3,7,2018,13.71,35.54,0,9.24
4,7,2018,17.72,35.95,0,8.82
5,7,2018,18.02,31.09,0,7.04
6,7,2018,16.53,29.05,7.37,4.36
7,7,2018,14.86,30.1,0,5.8
8,7,2018,15.41,31.33,0,6.76
9,7,2018,15.88,31.6,0,6.6
10,7,2018,15.64,32.62,0,7.15
11,7,2018,15.88,32.89,0,7.77
12,7,2018,17.31,30.54,10.67,6.6
13,7,2018,17.44,32.44,0,6.57
14,7,2018,16.93,31.33,0,7.06
15,7,2018,17.61,33.94,0.25,7.81
16,7,2018,18.09,33.5,0,7.25
17,7,2018,18.26,35.3,0,7.71
18,7,2018,17.99,38.59,0,9.19
19,7,2018,20.4,39.04,0,9.55
20,7,2018,21.18,38.39,0,11.17
21,7,2018,18.9,37.41,0,10.19
22,7,2018,19.17,39.07,0,10.14
23,7,2018,20.02,33.57,0,8.64
24,7,2018,18.12,31.63,14.99,6.53
25,7,2018,18.36,34.55,0,7.83
26,7,2018,16.76,30.07,21.84,5.8
27,7,2018,17.51,27.52,11.18,3.92
28,7,2018,16.9,33.2,0,7.28
29,7,2018,19.41,35.95,0,8.17
30,7,2018,15.98,26.2,2.29,5.15
31,7,2018,14.22,27.76,0,5.67
1,8,2018,14.93,33.4,0,8.03
2,8,2018,15.81,32.18,1.02,6.58
3,8,2018,18.36,34.08,0,7.65
4,8,2018,16.87,34.72,0,7.52
5,8,2018,16.63,33.43,0,8.18
6,8,2018,16.09,32.55,0,8.52
7,8,2018,18.12,33.74,0,7.29
8,8,2018,16.26,30.28,0,6.83
9,8,2018,14.76,29.43,0.76,5.26
10,8,2018,16.22,28.84,0.25,4.64
11,8,2018,14.32,26.12,2.79,3.18
12,8,2018,13.37,28.71,0,5.87
13,8,2018,13.23,30.88,0,6.8
14,8,2018,15.68,32.79,0,6.12
15,8,2018,16.43,34.08,26.42,7.25
16,8,2018,16.29,33.26,21.84,7.51
17,8,2018,17,32.21,6.35,6.26
18,8,2018,17,27.63,20.57,4.51
19,8,2018,15.24,27.63,0.25,5.08
20,8,2018,15.1,27.32,0,5.35
21,8,2018,15.47,31.77,0,6.28
22,8,2018,16.83,31.09,2.29,6.24
23,8,2018,15.58,32.55,0,6.93
24,8,2018,18.53,33.98,0,7.56
25,8,2018,18.05,34.45,1.78,6.74
26,8,2018,17.95,34.08,0,8.1
27,8,2018,19.79,34.49,0.51,8.79
28,8,2018,17.07,35.95,0,8.42
29,8,2018,14.32,28.68,0,5.86
30,8,2018,16.32,34.72,0,7.78
31,8,2018,17.21,35.3,0,8.29
1,9,2018,14.59,29.19,9.14,4.29
2,9,2018,15.92,30.34,0,6.79
3,9,2018,15.27,25.75,5.33,3.59
4,9,2018,15.17,28.61,0,4.88
5,9,2018,16.22,26.57,0,3.12
6,9,2018,15.03,23.88,0,3.17
7,9,2018,14.25,22.84,0,2.72
8,9,2018,12.45,25.95,0,4.21
9,9,2018,15.81,28.5,1.02,5.11
10,9,2018,15.03,28.68,0.25,5.2
11,9,2018,12.52,29.9,0,5.82
12,9,2018,13.54,31.19,0,6.72
13,9,2018,13.98,32.65,0,7.16
14,9,2018,15,31.02,0,6.58
15,9,2018,14.46,29.97,0,5.08
16,9,2018,14.97,29.05,0,5.36
17,9,2018,12.96,30.89,0,5.73
18,9,2018,15.24,30.99,0,5.72
19,9,2018,16.59,31.97,0,6.1
20,9,2018,14.56,27.82,19.3,4.19
21,9,2018,11.16,21.42,0.25,1.86
22,9,2018,8.56,25.95,0,4.57
23,9,2018,7.88,29.49,0,5.85
24,9,2018,8.66,31.05,0,6.89
25,9,2018,11.57,25.92,1.27,5.71
26,9,2018,7.61,14.97,2.03,2.13
27,9,2018,7.17,25.58,0,4.35
28,9,2018,7.44,25.75,0,5.12
29,9,2018,6.79,26.97,0,4.41
30,9,2018,13.61,31.86,0,7.02
1,10,2018,13.47,29.49,0,4.9
2,10,2018,13.1,29.73,0,4.66
3,10,2018,16.73,32.28,0,6.64
4,10,2018,10.93,25.72,0,4.21
5,10,2018,16.56,31.8,0,6.76
6,10,2018,6.49,17.21,0.76,1.3
7,10,2018,12.22,23.99,1.52,3.2
8,10,2018,11.13,22.49,12.7,3.25
9,10,2018,3.24,13.71,6.86,1.42
10,10,2018,1.03,19.34,0,3.23
11,10,2018,7.26,10.93,0,0.8
12,10,2018,10.79,21.71,0.51,2.96
13,10,2018,10.01,22.97,2.54,3.55
14,10,2018,-2.02,13.74,0,1.34
15,10,2018,-2.98,4.9,0,1.6
16,10,2018,2.35,12.76,0,1.47
17,10,2018,4.32,12.93,0,1.03
18,10,2018,5.03,7.4,12.45,0.67
19,10,2018,4.75,22.8,0.25,1.73
20,10,2018,3.64,20.25,0,1.71
21,10,2018,4.83,21.2,0,1.68
22,10,2018,5.77,23.1,0,1.56
23,10,2018,8.28,23.71,0,1.6
24,10,2018,4.86,10.99,19.81,0.76
25,10,2018,5.03,22.39,0,3.54
26,10,2018,6.59,23.17,0,1.32
27,10,2018,5.74,25.61,0,3.77
28,10,2018,6.62,20.32,0,1.66
29,10,2018,6.45,26.53,0,4.94
30,10,2018,6.93,17.27,0,1.27
31,10,2018,0.15,7.06,0,0.72
1,11,2018,-0.8,16.05,0,1.91
2,11,2018,1.41,20.01,0,1.73
3,11,2018,1.34,18.32,1.27,1.12
4,11,2018,0.39,17.92,0,2.96
5,11,2018,4.08,21.91,0,4.77
6,11,2018,2.86,23.17,0,4.4
7,11,2018,3.3,13.98,0,0.73
8,11,2018,1.41,7.6,0,0.55
9,11,2018,-2.26,12.45,0,0.65
10,11,2018,-2.77,14.9,0,0.88
11,11,2018,-3.35,9.23,0,0.71
12,11,2018,-10.1,0.35,0,0.54
13,11,2018,-10.23,4.99,0,0.58
14,11,2018,-4.39,13.87,0,0.67
15,11,2018,-1.04,19.37,0,0.77
16,11,2018,-1.04,20.59,0,0.61
